ParticipantID;G1;G2;G3;G4;G5
P01;"Mbappé;Kane;Oyarzabal";"Embolo;Bruno Fernandes;Gakpo;Cunha";"Pedri;Schick;Take Kubo;Declan Rice";"Rodri;Anderson;Bruno Guimaraes";"Reece James;Cubarsi"
P02;"Mbappe;Kane;Vinicius Junior";"Luis Suárez;Gakpo;Semenyo;Bruno Fernandes";"James Rodríguez;Arda Güler;Jonathan David;Valverde";"Xhaka;Bruno Guimaraes;Modric";"Van Dijk;Pacho"
P03;"Oyarzabal;Mbappe;Olise";"Bruno Fernandes;Gakpo;Brahim Diaz;Cunha";"De Bruyne;Pedri;Odegaard;Merino";"Rodri;Bruno Guimaraes;Casemiro";"Llorente;Nuno Mendes"
P04;"Mbappe;Kane;Oyarzabal";"Embolo;Bruno Fernandes;Gakpo;Marmoush";"Raúl Jiménez;Jonathan David;De Bruyne;Valverde";"Xhaka;Gouiri;Bajraktarevic";"Gabriel M.;Achraf"
P05;"Mbappe;Kane;Oyarzabal";"Endrick;Bruno Fernandes;Gakpo;Ferrán";"Pedri;Arda Güler;Take Kubo;Declan Rice";"Diomande;Rodri;Gonçalo Guedes";"Achraf;Nuno Mendes"
P06;"Kane;Oyarzabal;Mbappe";"Bruno Fernandes;Cunha;Malen;Gakpo";"Fabian;Joao Neves;Bernardo Silva;Ueda";"Casemiro;Bruno Guimaraes;Rodri";"Dumfries;Achraf"
P07;"Oyarzabal;Havertz;Mbappe";"Ferran;Lautaro;Wirtz;Gyokeres";"Dzeko;Fabián;Vitinha;Yildiz";"Diego Gómez;McTominay;De Paul";"Gabriel M.;Alderete"
P08;"Mbappe;Kane;Cristiano Ronaldo";"Ferrán;Bellingham;Lautaro;Gakpo";"Arda Güler;Take Kubo;Declan Rice;Santi Giménez";"McTominay;Akram Afif;Modric";"Nuno Mendes;Achraf"
P09;"Oyarzabal;Julián Álvarez;Lamine Yamal";"Embolo;Bellingham;Cherki;Ferrán";"Merino;Vitinha;Arda Güler;Lukebakio";"Bruno Guimaraes;Pape Gueye;Onana";"Cucurella;Achraf"
P10;"Kane;Mbappe;Julian Alvarez";"Brahim Diaz;Gakpo;Cunha;Cherki";"Schick;Jonathan David;Arda Güler;Take Kubo";"Ounahi;Victor Muñoz;Tabakovic";"Van Dijk;Nuno Mendes"
P11;"Mbappe;Oyarzabal;Cristiano Ronaldo";"Gordon;Cunha;Brahim Diaz;Rafa Leao";"Arda Güler;De Bruyne;Pedri;Odegaard";"Xhaka;Rodri;Modric";"Gabriel M.;Cancelo"
P12;"Mbappe;Kane;Oyarzabal";"Ferrán;Bellingham;Bruno Fernandes;Doue";"Schick;Arda Güler;Yildiz;De Bruyne";"Sulc;McTominay;Tabakovic";"Tah;Schlotterbeck"
P13;"Mbappe;Oyarzabal;Vinicius Junior";"Brahim Diaz;Darwin Núñez;Ante Budimir;Salah";"Dzeko;Arda Güler;Pedri;Valverde";"Yeremi Pino;Kovacic;Saibari";"Hincapié;Van Dijk"
P14;"Mbappe;Haaland;Lamine Yamal";"Isak;Lautaro;Salah;Bellingham";"Take Kubo;Odegaard;Pedri;Santi Giménez";"McTominay;Akram Afif;Al Taamari";"Dumfries;Achraf"
P15;"Mbappe;Oyarzabal;Julián Álvarez";"Pedro Neto;Rashford;Bellingham;Eze";"Enzo Fernández;James Rodríguez;Vitinha;Declan Rice";"Sulc;Provod;Chory";"Gabriel M.;Marquinhos"
P16;"Mbappé;Kane;Oyarzabal";"Endrick;Brahim Diaz;Olmo;Bruno Fernandes";"Arda Güler;De Bruyne;Bernardo Silva;Nusa";"Ounahi;Tchouameni;Anderson";"Gvardiol;Nuno Mendes"
P17;"Mbappe;Dembele;Olise";"Sorloth;Bellingham;Doue;Cherki";"Merino;Barcola;Santiago Giménez;Enner Valencia";"McTominay;Tchouameni;Borja Iglesias";"Marquinhos;Theo Hernandez"
P18;"Mbappé;Harry Kane;Haaland";"Mané;Memphis;Ferrán;Bellingham";"Akturkoglu;Enzo Fernández;Perisic;Declan Rice";"Gonçalo Guedes;Xhaka;Kovacic";"Schlotterbeck;Achraf"
